site,household,module,household_food_gj_year,perennial_food_percent,annual_food_percent,livestock_food_percent,protein_coverage_percent,annual_crop_area_ha,perennial_food_area_ha,livestock_feed_area_ha,woody_heating_area_ha,total_food_feed_heat_area_ha,recurring_labour_hours_year,food_energy_without_annual_soil_preparation_percent
dry,two_adults_plus_two_children,plants_plus_rabbits,14.050693,73.425,24.475,2.1,63.587,0.202387,1.865637,0.093333,0.579401,2.740758,519.78,74.16
dry,two_adults_plus_two_children,plants_plus_chickens_rabbits,14.050693,71.034,23.678,5.288,76.003,0.195796,1.804876,0.150027,0.579401,2.7301,628.71,72.088
dry,two_adults_plus_three_children,plants_only,16.677312,75,25,0,53.797,0.245373,2.261886,0,0.579401,3.08666,387.1,75
dry,two_adults_plus_three_children,plants_plus_chickens,16.677312,72.985,24.328,2.686,64.828,0.238781,2.201126,0.056693,0.579401,3.076001,496.7,73.254
dry,two_adults_plus_three_children,plants_plus_rabbits,16.677312,73.673,24.558,1.769,64.967,0.241032,2.221876,0.093333,0.579401,3.135643,560.25,74.292
dry,two_adults_plus_three_children,plants_plus_chickens_rabbits,16.677312,71.659,23.886,4.455,75.997,0.234441,2.161116,0.150027,0.579401,3.124984,669.85,72.546
shallow_rocky_marginal,one_adult,plants_only,3.375074,75,25,0,42.041,0.074486,0.686624,0,0.579401,1.340511,116.79,75
shallow_rocky_marginal,one_adult,plants_plus_chickens,3.375074,65.045,21.682,13.274,84.637,0.064599,0.595483,0.08504,0.579401,1.324523,221.29,66.372
shallow_rocky_marginal,one_adult,plants_plus_rabbits,3.375074,68.445,22.815,8.741,85.173,0.067976,0.62661,0.14,0.579401,1.413986,286.58,71.504
shallow_rocky_marginal,one_adult,plants_plus_chickens_rabbits,3.375074,58.489,19.496,22.014,127.769,0.058088,0.535469,0.22504,0.579401,1.397998,391.08,62.876
shallow_rocky_marginal,adult_plus_child,plants_only,5.846183,75,25,0,50.898,0.129022,1.189346,0,0.579401,1.897769,19.35,75
shallow_rocky_marginal,adult_plus_child,plants_plus_chickens,5.846183,69.253,23.084,7.663,80.668,0.119135,1.098205,0.08504,0.579401,1.881781,137.87,70.019
shallow_rocky_marginal,adult_plus_child,plants_plus_rabbits,5.846183,71.215,23.738,5.046,81.044,0.122512,1.129332,0.14,0.579401,1.971244,198.38,72.982
shallow_rocky_marginal,adult_plus_child,plants_plus_chickens_rabbits,5.846183,65.468,21.823,12.709,110.814,0.112624,1.038191,0.22504,0.579401,1.955256,316.89,68.001
shallow_rocky_marginal,two_adults,plants_only,7.768697,75,25,0,43.38,0.171451,1.580462,0,0.579401,2.331314,320.27,75
shallow_rocky_marginal,two_adults,plants_plus_chickens,7.768697,70.675,23.558,5.767,62.474,0.161564,1.489321,0.08504,0.579401,2.315326,421.8,71.252
shallow_rocky_marginal,two_adults,plants_plus_rabbits,7.768697,72.152,24.051,3.797,62.715,0.16494,1.520447,0.14,0.579401,2.404789,488.11,73.481
shallow_rocky_marginal,two_adults,plants_plus_chickens_rabbits,7.768697,67.827,22.609,9.564,81.809,0.155053,1.429306,0.22504,0.579401,2.388801,589.64,69.733
shallow_rocky_marginal,two_adults_plus_one_child,plants_only,10.239806,75,25,0,47.924,0.225987,2.083184,0,0.579401,2.888572,366.72,75
shallow_rocky_marginal,two_adults_plus_one_child,plants_plus_chickens,10.239806,71.719,23.906,4.375,63.928,0.2161,1.992043,0.08504,0.579401,2.872584,470.68,72.156
shallow_rocky_marginal,two_adults_plus_one_child,plants_plus_rabbits,10.239806,72.839,24.28,2.881,64.13,0.219476,2.023169,0.14,0.579401,2.962047,536.16,73.848
shallow_rocky_marginal,two_adults_plus_one_child,plants_plus_chickens_rabbits,10.239806,69.558,23.186,7.256,80.134,0.209589,1.932028,0.22504,0.579401,2.946059,640.11,71.004
shallow_rocky_marginal,two_adults_plus_two_children,plants_only,14.050693,75,25,0,51.015,0.310091,2.85847,0,0.579401,3.747962,463.72,75
shallow_rocky_marginal,two_adults_plus_two_children,plants_plus_chickens,14.050693,72.609,24.203,3.188,63.431,0.300204,2.767329,0.08504,0.579401,3.731974,568.94,72.928
shallow_rocky_marginal,two_adults_plus_two_children,plants_plus_rabbits,14.050693,73.425,24.475,2.1,63.587,0.30358,2.798456,0.14,0.579401,3.821437,633.99,74.16
shallow_rocky_marginal,two_adults_plus_two_children,plants_plus_chickens_rabbits,14.050693,71.034,23.678,5.288,76.003,0.293693,2.707315,0.22504,0.579401,3.805449,739.2,72.088
shallow_rocky_marginal,two_adults_plus_three_children,plants_only,16.677312,75,25,0,53.797,0.368059,3.392829,0,0.579401,4.340289,55.21,75
shallow_rocky_marginal,two_adults_plus_three_children,plants_plus_chickens,16.677312,72.985,24.328,2.686,64.828,0.358172,3.301688,0.08504,0.579401,4.324301,173.73,73.254
shallow_rocky_marginal,two_adults_plus_three_children,plants_plus_rabbits,16.677312,73.673,24.558,1.769,64.967,0.361549,3.332814,0.14,0.579401,4.413764,234.23,74.292
shallow_rocky_marginal,two_adults_plus_three_children,plants_plus_chickens_rabbits,16.677312,71.659,23.886,4.455,75.997,0.351661,3.241673,0.22504,0.579401,4.397776,352.75,72.546
